DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
TOLIMA,CAJAMARCA,1423,2024,9,2602001,4,0,0,0,0,0,0,0
CUNDINAMARCA,FUNZA,1423,2024,9,2014101,6,0,0,0,0,0,0,0
CUNDINAMARCA,MOSQUERA,1423,2024,9,3813001,0,0,0,0,0,0,0,0
BOYACA,RAQUIRA,1423,2024,9,2551301,0,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,9,5081101,71,0,0,0,0,0,0,0
BOYACA,MONIQUIRA,1423,2024,9,3473101,14,0,0,0,0,0,0,0
N. DE SANTANDER,VILLA DEL ROSARIO,1423,2024,9,1692001,0,0,0,0,0,0,0,0
CASANARE,TAMARA,1423,2024,9,2014101,0,0,0,0,0,0,0,0
ANTIOQUIA,ENVIGADO,1423,2024,9,3102001,2,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,9,1900401,30,11,0,0,0,0,0,0
TOLIMA,MELGAR,1423,2024,9,2014501,0,0,0,0,0,0,0,0
BOYACA,SOCHA,1423,2024,9,3292001,2,0,0,0,0,0,0,0
TOLIMA,CHAPARRAL,1423,2024,9,4452001,9,0,0,0,0,0,0,0
CALDAS,LA DORADA,1423,2024,9,1474101,0,0,0,0,0,0,0,0
PUTUMAYO,ORITO,1423,2024,9,4429001,0,0,0,0,0,0,0,0
BOYACA,PUERTO BOYACA,1423,2024,9,1701001,0,0,0,0,0,0,0,0
BOYACA,TIBANA,1423,2024,9,3861001,23,1,1,1,1,0,0,0
LA GUAJIRA,RIOHACHA,1423,2024,9,1462002,0,0,0,0,0,0,0,0
ATLANTICO,BARRANQUILLA,1423,2024,9,4492101,1030,1,7,7,7,0,0,0
CUNDINAMARCA,AGUA DE DIOS,1423,2024,9,4103002,0,0,0,0,0,0,0,0
ANTIOQUIA,BELLO,1423,2024,9,1791101,4,1,0,0,0,0,0,0
ANTIOQUIA,RIONEGRO,1423,2024,9,5281901,1,0,0,0,0,0,0,0
ANTIOQUIA,SONSON,1423,2024,9,2012101,38,0,3,3,3,0,0,0
CALDAS,LA DORADA,1423,2024,9,2662101,0,0,0,0,0,0,0,0
ANTIOQUIA,CAÑASGORDAS,1423,2024,9,1471901,0,0,0,0,0,0,0,0
ANTIOQUIA,EL CARMEN DE VIBORAL,1423,2024,9,1472401,6,0,0,0,0,0,0,0
CORDOBA,CERETE,1423,2024,9,1649901,2,0,0,0,0,0,0,0
TOLIMA,CHAPARRAL,1423,2024,9,3561901,6,0,0,0,0,0,0,0
NARIÑO,GUAITARILLA,1423,2024,9,5433001,0,0,0,0,0,0,0,0
SANTANDER,PIEDECUESTA,1423,2024,9,2551101,9,0,1,1,1,0,0,0
NARIÑO,BARBACOAS,1423,2024,9,5432201,0,1,0,0,0,0,0,0
MAGDALENA,SANTA MARTA,1423,2024,9,4452001,256,2,0,0,0,0,0,0
CAUCA,PIENDAMO,1423,2024,9,2851101,103,137,0,0,0,0,0,0
CUNDINAMARCA,COTA,1423,2024,9,2851201,7,0,0,0,0,0,0,0
NARIÑO,PASTO,1423,2024,9,4331201,12,0,0,0,0,0,0,0
VALLE DEL CAUCA,PALMIRA,1423,2024,9,1464502,2,1,0,0,0,0,0,0
BOYACA,ARCABUCO,1423,2024,9,3360001,6,0,0,0,0,0,0,0
ARAUCA,TAME,1423,2024,9,3360001,115,35,2,2,2,0,0,0
CUNDINAMARCA,LA CALERA,1423,2024,9,2853001,240,3,0,0,0,0,0,0
ATLANTICO,BARRANQUILLA,1423,2024,9,1881001,150,16,0,0,0,0,0,0
NARIÑO,PASTO,1423,2024,9,3353001,0,0,0,0,0,0,0,0
RISARALDA,DOSQUEBRADAS,1423,2024,9,3202302,4,2,0,0,0,0,0,0
ANTIOQUIA,MUTATA,1423,2024,9,1841201,0,5,0,0,0,0,0,0
VALLE DEL CAUCA,VIJES,1423,2024,9,2032101,0,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,9,1856001,661,29,0,0,0,0,0,0
RISARALDA,PEREIRA,1423,2024,9,2461002,75,0,0,0,0,0,0,0
N. DE SANTANDER,CUCUTA,1423,2024,9,2853001,717,54,1,1,1,0,0,0
BOLIVAR,MAGANGUE,1423,2024,9,1476101,2,0,0,0,0,0,0,0
CASANARE,PAZ DE ARIPORO,1423,2024,9,1466401,0,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,9,3611003,1,0,0,0,0,0,0,0
BOYACA,SOGAMOSO,1423,2024,9,4466301,51,0,0,0,0,0,0,0
VALLE DEL CAUCA,GUADALAJARA DE BUGA,1423,2024,9,1731001,2,0,0,0,0,0,0,0
CUNDINAMARCA,FUNZA,1423,2024,9,5163001,0,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,9,5433003,103,6,0,0,0,0,0,0
CUNDINAMARCA,BITUIMA,1423,2024,9,3473101,7,0,0,0,0,0,0,0
CORDOBA,VALENCIA,1423,2024,9,1472301,0,0,0,0,0,0,0,0
ANTIOQUIA,GUARNE,1423,2024,9,2016102,1,0,0,0,0,0,0,0
CASANARE,YOPAL,1423,2024,9,5243201,1,0,0,0,0,0,0,0
CUNDINAMARCA,CAJICA,1423,2024,9,4452001,92,5,0,0,0,0,0,0
ANTIOQUIA,ENTRERRIOS,1423,2024,9,2014401,69,0,1,1,1,0,0,0
RISARALDA,PEREIRA,1423,2024,9,4492102,0,54,0,0,0,0,0,0
CAUCA,POPAYAN,1423,2024,9,1462003,34,12,0,0,0,0,0,0
META,GRANADA,1423,2024,9,5842302,9,0,1,1,1,0,0,0
TOLIMA,SAN LUIS,1423,2024,9,5089902,8,0,0,0,0,0,0,0
CORDOBA,TIERRALTA,1423,2024,9,5842302,1,14,0,0,0,0,0,0
BOLIVAR,ARENAL,1423,2024,9,3360001,9,2,0,0,0,0,0,0
AMAZONAS,LETICIA,1423,2024,9,2773006,0,0,0,0,0,0,0,0
NARIÑO,CORDOBA,1423,2024,9,2855201,3,1,0,0,0,0,0,0
AMAZONAS,LETICIA,1423,2024,9,2750001,2,0,0,0,0,0,0,0
BOYACA,CUITIVA,1423,2024,9,2851101,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,GINEBRA,1423,2024,9,2014401,4,0,0,0,0,0,0,0
CUNDINAMARCA,TOCANCIPA,1423,2024,9,1642401,0,0,0,0,0,0,0,0
NARIÑO,PASTO,1423,2024,9,2014101,68,2,0,0,0,0,0,0
ANTIOQUIA,GUARNE,1423,2024,9,1454101,9,1,0,0,0,0,0,0
N. DE SANTANDER,CUCUTA,1423,2024,9,1474101,79,2,0,0,0,0,0,0
VALLE DEL CAUCA,CALI,1423,2024,9,2012701,350,1,1,1,1,0,0,0
CUNDINAMARCA,COTA,1423,2024,9,3282101,6,5,0,0,0,0,0,0
ANTIOQUIA,MEDELLIN,1423,2024,9,2102001,89,0,0,0,0,0,0,0
ANTIOQUIA,ANORI,1423,2024,9,4101101,0,0,0,0,0,0,0,0
BOYACA,PAIPA,1423,2024,9,5439004,27,0,0,0,0,0,0,0
