DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
ANTIOQUIA,TURBO,1423,2024,05,1852201,0,0,0,0,0,0,0,0
BOGOTA,"BOGOTA, D.C.",1423,2024,05,2014502,45,0,0,0,0,0,0,0
AMAZONAS,LETICIA,1423,2024,05,2619001,0,0,0,0,0,0,0,0
CUNDINAMARCA,SOACHA,1423,2024,05,1472401,9,0,0,0,0,0,0,0
CUNDINAMARCA,COTA,1423,2024,05,3452001,7,0,0,0,0,0,0,0
VALLE DEL CAUCA,CALIMA,1423,2024,05,1881001,7,0,0,0,0,0,0,0
PUTUMAYO,VILLAGARZON,1423,2024,05,4432101,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,ANDALUCIA,1423,2024,05,5812901,0,0,0,0,0,0,0,0
RISARALDA,PEREIRA,1423,2024,05,2465201,3,0,0,0,0,0,0,0
CUNDINAMARCA,ALBAN,1423,2024,05,1949101,2,0,0,0,0,0,0,0
ANTIOQUIA,SABANETA,1423,2024,05,2014201,1,0,0,0,0,0,0,0
VALLE DEL CAUCA,YUMBO,1423,2024,05,5711001,38,5,0,0,0,0,0,0
SAN ANDRES,SAN ANDRES,1423,2024,05,2466301,13,0,0,0,0,0,0,0
HUILA,PALERMO,1423,2024,05,5072201,2,0,0,0,0,0,0,0
N. DE SANTANDER,LOS PATIOS,1423,2024,05,2012101,1,0,0,0,0,0,0,0
META,SAN MARTIN,1423,2024,05,4103001,11,19,0,0,0,0,0,0
ANTIOQUIA,PEÐOL,1423,2024,05,1920001,0,0,0,0,0,0,0,0
CUNDINAMARCA,LA CALERA,1423,2024,05,3012501,3,0,0,0,0,0,0,0
ANTIOQUIA,VENECIA,1423,2024,05,3561901,2,0,0,0,0,0,0,0
META,CASTILLA LA NUEVA,1423,2024,05,4492301,24,0,0,0,0,0,0,0
BOYACA,MARIPI,1423,2024,05,1823001,0,0,0,0,0,0,0,0
VICHADA,PUERTO CARREÑO,1423,2024,05,1463101,21,0,0,0,0,0,0,0
ANTIOQUIA,SAN PEDRO DE URABA,1423,2024,05,3473101,0,0,0,0,0,0,0,0
ANTIOQUIA,LA CEJA,1423,2024,05,3910301,0,0,0,0,0,0,0,0
AMAZONAS,LETICIA,1423,2024,05,3931201,3,0,0,0,0,0,0,0
CORDOBA,MONTELIBANO (1),1423,2024,05,1649901,0,0,0,0,0,0,0,0
CUNDINAMARCA,FUNZA,1423,2024,05,2101101,32,0,0,0,0,0,0,0
NARIÑO,CUMBAL,1423,2024,05,1949101,3,0,0,0,0,0,0,0
CUNDINAMARCA,SIMIJACA,1423,2024,05,2472101,1,0,0,0,0,0,0,0
LA GUAJIRA,RIOHACHA,1423,2024,05,1701001,27,29,0,0,0,0,0,0
CALDAS,MANIZALES,1423,2024,05,3222901,1,2,0,0,0,0,0,0
CESAR,VALLEDUPAR,1423,2024,05,5422001,108,56,0,0,0,0,0,0
NARIÑO,SAMANIEGO,1423,2024,05,5432201,1,3,0,0,0,0,0,0
ATLANTICO,LURUACO,1423,2024,05,1475201,1,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,05,2021001,8,0,0,0,0,0,0,0
BOLIVAR,SIMITI,1423,2024,05,2016102,4,0,0,0,0,0,0,0
SANTANDER,BARBOSA,1423,2024,05,1474101,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,RESTREPO,1423,2024,05,5161001,0,0,0,0,0,0,0,0
QUINDIO,FILANDIA,1423,2024,05,2015001,1,0,0,0,0,0,0,0
CUNDINAMARCA,FUSAGASUGA,1423,2024,05,2862201,23,0,0,0,0,0,0,0
TOLIMA,HONDA,1423,2024,05,4466301,1,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,05,2259901,0,0,0,0,0,0,0,0
TOLIMA,MARIQUITA,1423,2024,05,2012201,3,0,0,0,0,0,0,0
ATLANTICO,SOLEDAD,1423,2024,05,3151201,2,0,0,0,0,0,0,0
CUNDINAMARCA,MADRID,1423,2024,05,3360001,7,0,0,0,0,0,0,0
