iddepto,nomdepto,idmpio,nompio,tiporegimen,tipopoblación,año,mes,total
91,AMAZONAS,91000,91000 - AMAZONAS (TOTAL CD.),HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,1
91,AMAZONAS,91001,91001 - LETICIA,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,15
05,ANTIOQUIA,05001,05001 - MEDELLÍN,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,2351
05,ANTIOQUIA,05002,05002 - ABEJORRAL,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,2
05,ANTIOQUIA,05004,05004 - ABRIAQUÍ,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,4
05,ANTIOQUIA,05021,05021 - ALEJANDRÍA,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,2
05,ANTIOQUIA,05030,05030 - AMAGÁ,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,1
05,ANTIOQUIA,05034,05034 - ANDES,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,37
05,ANTIOQUIA,05036,05036 - ANGELÓPOLIS,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,4
05,ANTIOQUIA,05040,05040 - ANORÍ,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,1
05,ANTIOQUIA,05042,05042 - SANTAFÉ DE ANTIOQUIA,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,7
05,ANTIOQUIA,05045,05045 - APARTADÓ,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,17
05,ANTIOQUIA,05059,05059 - ARMENIA,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,1
05,ANTIOQUIA,05079,05079 - BARBOSA,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,16
05,ANTIOQUIA,05088,05088 - BELLO,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,119
05,ANTIOQUIA,05093,05093 - BETULIA,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,1
05,ANTIOQUIA,05101,05101 - CIUDAD BOLÍVAR,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,45
05,ANTIOQUIA,05113,05113 - BURITICÁ,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,3
05,ANTIOQUIA,05120,05120 - CÁCERES,HABITANTES DE LA CALLE,SUBSIDIADO,2022,Diciembre,22
