N° UNICO CONSECUTIVO DE IDENTIFICACION,ESTADO DEL ESTABLECIMIENTO,DEPARTAMENTO,MUNICIPIO,RAZON SOCIAL,NIT,REPRESENTANTE LEGAL,DIRECCION O UBICACION DEL ESTABLECIMIENTO,CONCEPTO SANITARIO VIGENTE,"LINEA SUBCATEGGORIA DE ALIMENTOS
(Productos elaborados o Procesados)"
3,1 ACTIVO,BOYACA,MONIQUIRA,ARACELY VARGAS DE BELTRAN-FABRICA DE BOCADILLO Y TUME EL CAMPESINO,237775626,ARACELY VARGAS DE BELTRAN,CR 7 No 24-78 BR LA FLORESTA,FAVORABLE,MANJAR BLANCO;BOCADILLO DE GUAYABA
5,1 ACTIVO,BOYACA,MONIQUIRA,BRISAS DEL SUAREZ SAS,9006266366,CRISTHIAN FERNANDO ARDILA SUAREZ,CS MIRAMAR-VDA SAN VICIENTE LUEGO DEL PUENTE LA LIBERTAD VI BARBOSA-MONIQUIRA A MANO DERECHA(ENTRDA VDA BELCHITE Y MAEGAL),FAVORABLE,AGUA POTABLE TRATADA
6,1 ACTIVO,BOYACA,MONIQUIRA,CACERES ESPITIA LUIS EDUARDO-PRODUCTOS COMESTIBLES DIANITA,742419347,LUIS EDUARDO CACERES ESPITIA,CR 7 No 24-32 BR LA FLORESTA,FAVORABLE,BOCADILLO DE GUAYABA;MANJAR BLANCO
8,1 ACTIVO,BOYACA,MONIQUIRA,SUAREZ SUAREZ ANA KATHERINNE-AGUAMAX MB,237833008,ANA KATHERINNE SUAREZ SUAREZ,CR 7 No 31-20 BR LA FLORESTA,FAVORABLE,AGUA POTABLE TRATADA
10,1 ACTIVO,BOYACA,MONIQUIRA,MORA MALAGON OSVAR ARMANDO-FHD FABRICA DE HERPOS EL DIAMANTE,742415598,OSVAR ARMANDO MORA MALAGON,CR 7 No 23-62 BR LA FLORESTA,FAVORABLE,BOCADILLO DE GUAYABA
11,1 ACTIVO,BOYACA,MONIQUIRA,PINILLA PINILLA EPIMENIO-MANJARES EL TROPICO,417312801,EPIMENIO PINILLA PINILLA,CR 7 No 25-14 BR LA FLORESTA,FAVORABLE,DERIVADOS LACTEOS BEBIBLESAREQUIPEGELATINA
15,1 ACTIVO,BOYACA,SANTANA,ZAMBRANO HERNANDEZ GUILLERMO-CAFE EL MAÑANERO,112541704,GUILLERMO ZAMBRANO HERNANDEZ,VDA SAN EMIGDIO,FAVORABLE,CAFE TOSTADO Y MOLIDO
17,1 ACTIVO,CESAR,AGUACHICA,FLOREZ JULIO YAMILE-REFRESCOS AGUA CERO Y AGUA BRISSS,496643897,YAMILE FLOREZ JULIO,CL 7 No 12-37 AP 1 BR SAN PEDRO,FAVORABLE,AGUA POTABLE TRATADA
21,1 ACTIVO,CESAR,AGUACHICA,FRESKALECHE SAS,8001147665,JORGE MARIO ARIAS LANZZIANO,KM 7 VI BUCARAMANGA,FAVORABLE,LECHE EN POLVO;LECHE UHT;AVENA UHT Y CREMA DE LECHE ENTERA UAT
22,1 ACTIVO,CESAR,AGUACHICA,FRESKALECHE SAS,8001147665,JORGE MARIO ARIAS LANZZIANO,KM 7 VI BUCARAMANGA,FAVORABLE,LECHE CRUDA ENFRIADA
26,1 ACTIVO,CESAR,AGUACHICA,PACHECO LINEROS ROSA OMAIDA-AGUA BUENA SED,496501148,ROSA OMAIDA PACHECO LINEROS,CL 3 No 16-41 BR EL CARRETERO,FAVORABLE,AGUA POTABLE TRATADA
32,1 ACTIVO,CESAR,PAILITAS,COOPERATIVA GANADERA DEL SUR LTDA - COOGANASUR LTDA,8240000332,JORGE TULIO GOMEZ CIFUENTES,KM 1 SALIDA A BUCARAMANGA,FAVORABLE CON OBSERVACIONES,LECHE CRUDA
38,1 ACTIVO,CESAR,RIO DE ORO,DISCOLACTEOS SAS,9000814226,MONICA BASTO TRIANA,VI CUATRO BOCAS LT 1 B 11-CORREGIMIENTO DE MORRINSON,FAVORABLE,QUESOS FRESCOS
39,1 ACTIVO,CESAR,SAN ALBERTO,ENVASADORA DE AGUA ZAFIRO SAS,9005199205,SANDRA CRISTINA PULGARIN PEREZ,CR 4 No 5- 24,FAVORABLE,AGUA POTABLE TRATADA
41,1 ACTIVO,CESAR,SAN ALBERTO,JAIME ARIAS LIBIA-AGUA Y REFRESCOS LA COLINA,365013608,LIBIA JAIME ARIAS,CL 2 No 5A-05 BR VILLA FANNY,FAVORABLE,AGUA POTABLE TRATADA
42,1 ACTIVO,CESAR,SAN ALBERTO,JOSE CRISTOBAL CALDERON PACHECO-LACTEOS EL AGRADO DEL CESAR,189288678,JOSE CRISTOBAL CALDERON PACHECO,CL 7 LT 18 BR OASIS,FAVORABLE,QUESOS FRESCOS
44,1 ACTIVO,CESAR,SAN ALBERTO,VILLAMIZAR BARAJAS LISBETH ROCIO PROPIETARIA DEL ESTABLECIMIENTO DE COMERCIO LACTEOS VILLA LIZ,10958167347,LISBETH ROCIO VILLAMIZAR BARAJAS,CR 2 No 3N-357 BR SAN RAFAEL,FAVORABLE,QUESOS FRESCOS
47,1 ACTIVO,CESAR,SAN MARTIN,QUESILLO SAN MARTIN-GUSTAVO REYES LINARES,914700505,GUSTAVO REYES LINARES,CL 19 No 8-76 BR LAS ORQUIDEAS,FAVORABLE,QUESOS FRESCOS
48,1 ACTIVO,NORTE_DE_SANTANDER,CACHIRA,FLOREZ VARGAS DUVIER CECILIO PROPIETARIO DE ESTABLECIMIENTO DE COMERCIO DUVILAC,135127761,DUVIER CECILIO FLOREZ VARGAS,CR 9-1 SALIDA A RAMIREZ BR LA ERMITA,FAVORABLE,QUESOS FRESCOS
49,1 ACTIVO,NORTE_DE_SANTANDER,CACHIRA,MANCILLA VILLAMIZAR RODRIGO-LACTEOS LA YERSEY,912751325,RODRIGO MANCILLA VILLAMIZAR,VI CACHIRA CORREGIMIENTO LA VEGA LA ESPENCITA,FAVORABLE,QUESOS FRESCOS
50,1 ACTIVO,NORTE_DE_SANTANDER,CACHIRA,TORRES TORRES DAMASO -LACTEOS DAMALAC,54192266,DAMASO TORRES TORRES,CL 5 No 4-35 BR SAN AGUSTIN,FAVORABLE,QUESOS FRESCOS
51,1 ACTIVO,NORTE_DE_SANTANDER,CACOTA,VILLAMIZAR LUIS FERNANDO-LACTEOS CACOTA,881652811,LUIS FERNANDO VILLAMIZAR,CL 6 CR 2;CS 10 BR NUEVO MILENIO,FAVORABLE,QUESOS FRESCOS
53,1 ACTIVO,NORTE_DE_SANTANDER,CHITAGA,CARRERO CALDERON LUIS HUMBERTO-LACTEOS EL ROBLE,54552323,LUIS HUMBERTO CARRERO CALDERON,CL 3 No 5-38 BR EL CENTRO,FAVORABLE,QUESOS FRESCOS
55,1 ACTIVO,NORTE_DE_SANTANDER,CHITAGA,HERMES BASTO ORTIZ-LACTEOS CHITAGA,881527531,HERMES BASTO ORTIZ,CL 2 No 7-56 BR EL CONTENTO,FAVORABLE,QUESOS FRESCOS
60,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,ANGARITA NAVARRO CELIAR PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO PANADERIA LA SELECTA,881412950,CELIAR ANGARITA NAVARRO,CL 9 No 10-99 BR EL LLANO,FAVORABLE,PAN;GALLETAS
62,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,ARROCERA AGUA CLARA SAS,9005203831,EDGAR ALEXANDER GUZMAN CASTILLO,CL 7N No 5A-66 ZN INDUSTRIAL I,FAVORABLE,ARROZ
64,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,ARROCERA GELVEZ SAS,8905025725,ISABEL BAUTISTA,AV 7 No 18N-87 AU VI AL AEROPUERTO,FAVORABLE,ARROZ
65,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,ARROCERAS SAN VALENTIN Y CIA LTDA,8000835141,VALENTIN VEGA ANGARITA,CL 7N No 5-03 ZN INDUSTRIAL I,FAVORABLE,ARROZ
68,1 ACTIVO,NORTE_DE_SANTANDER,CUCUTA,CARLOS ALBERTO MARTINEZ MONTES-PASABOCAS CHIC,882406403,CARLOSALBERTO MARTINEZ MONTES,AV 4 No 10-98 BR DOÑA NIDIA,FAVORABLE,SNACKS
